row_id,brand,part_type,part_subtype,vercel_component_type,primary_part_number,input_alt_part_numbers,extracted_alt_part_numbers,product_name_verified,machine_fitments_text,serial_break_notes,chassis_mount_notes,interchange_supersession_notes,component_seo_title,component_h1,meta_description,source_confidence,source_status,rubbertrax_verified,publish_recommendation,should_publish_part_page,source_url,notes_for_vercel
35,Kubota,roller,bottom,bottom_roller,RD118-21700,,RD118-21700,Kubota KX121-3 / KX040-4 Bottom Roller RD118-21700,"Kubota KX121-3, KX121-3SS, KX121-3ST, KX040-4",No serial break extracted from RubberTrax snippet; verify if steel-track version is required.,Mini excavator bottom center roller; RubberTrax notes steel-track version is stocked separately/needs selection.,RubberTrax lists Kubota dealer part number RD118-21700.,Kubota RD118-21700 Bottom Roller | Rubber Track Wholesale,Kubota KX121-3 / KX040-4 Bottom Roller RD118-21700,Replacement bottom roller RD118-21700 for Kubota KX121-3 and KX040-4 mini excavators. Verify fitment before ordering.,High,EXTRACTED - RubberTrax search/page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Kubota-KX121-3-KX040-4-Lower-Track-Roller-17p33.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
36,Kubota,roller,bottom,bottom_roller,RD201-21700,,,,,,,,,Kubota RD201-21700 Bottom Roller,,High,URL provided; extraction not completed in this first pass,NO - non-RubberTrax source,DO NOT PUBLISH - needs RubberTrax verification,NO,https://www.fridayparts.com/track-roller-bottom-roller-rd301-21700-for-kubota-excavator-kx161-2-u45,Non-RubberTrax source; do not publish unless owner manually approves.
37,Kubota,roller,bottom,bottom_roller,RD411-21700,,RD411-21702; RD411-21703; RD441-21702; RD579-21700; RD461-21900,Kubota KX161-3 / U45-3 Bottom Roller RD411-21700,"Kubota KX161-3, U45-3, U40-3, KX057-4, U55-4",No specific serial break extracted; verify model/configuration before ordering.,Mini excavator bottom roller with sealed ball-bearing design and stainless steel shaft noted by RubberTrax.,"RubberTrax lists RD411-21702, RD411-21703, RD441-21702, RD579-21700, RD461-21900.",Kubota RD411-21700 Bottom Roller | Rubber Track Wholesale,Kubota KX161-3 / U45-3 Bottom Roller RD411-21700,"Replacement bottom roller RD411-21700 for Kubota KX161-3, U45-3, KX057-4 and related mini excavators. Verify fitment before ordering.",High,EXTRACTED - RubberTrax search/page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Kubota-KX-161-3-U-45-3-Lower-Roller-17p30.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
38,Kubota,roller,bottom,bottom_roller,RD411-21703,,RD411-21702; RD411-21703; RD441-21702; RD579-21700; RD461-21900,Kubota KX161-3 / U45-3 Bottom Roller RD411-21703,"Kubota KX161-3, U45-3, U40-3, KX057-4, U55-4",No specific serial break extracted; verify model/configuration before ordering.,Same RubberTrax page/family as RD411-21700; mini excavator bottom roller.,Cross-reference family includes RD411-21700/RD411-21702/RD411-21703 and related alternates.,Kubota RD411-21703 Bottom Roller | Rubber Track Wholesale,Kubota KX161-3 / U45-3 Bottom Roller RD411-21703,"Replacement bottom roller RD411-21703 for Kubota KX161-3, U45-3, KX057-4 and related mini excavators. Verify fitment before ordering.",High,EXTRACTED - RubberTrax search/page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Kubota-KX-161-3-U-45-3-Lower-Roller-17p30.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
39,Kubota,roller,bottom,bottom_roller,RD809-21703,,RD819-21702,"Kubota KX080-3, KX080-4","Kubota KX080-3, KX080-4",,,,,Kubota RD809-21703 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX-080-3-080-4-Bottom-Track-Roller-174p737.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
40,Kubota,roller,bottom,bottom_roller,RG158-21700,,"RG158-21700,RA231-21700","Kubota KX018-4, KX019-4, KX41-3, KX015-4, KX016-4, KX018-4, KX019-4","Kubota KX018-4, KX019-4, KX41-3, KX015-4, KX016-4, KX018-4, KX019-4",Kubota KX41-3 (S/N 40001 & UP),,,,Kubota RG158-21700 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX018-4-KX019-4-Bottom-Rollers-p245.htm?srsltid=AfmBOoqgZugNcSmH7ZLrI3ncQdhlGvbeauAgUwT3PsA2kqGZx3RilKa9,RubberTrax URL present but extraction not completed/verified; do not publish part page.
41,Kubota,sprocket,drive,drive_sprocket,68621-14430,,,"Kubota KX91-2, KX91-2SS, KX121-2, KX101","Kubota KX91-2, KX91-2SS, KX121-2, KX101, Sprocket specifications:23 Teeth, 9 Bolt Holes, Inside Diameter: 8 Inches, Outside Diameter: 15 1/2 Inches, Width at the Base of Tooth: 1 1/4 Inches",,,,,Kubota 68621-14430 Drive Sprocket,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX-91-2-Sprocket-68621-14430-17p58.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
42,Kubota,sprocket,drive,drive_sprocket,RC788-14430,RC417-14430,,"Kubota U35, U35-S2, U35-4, KX71-3, KX91-3, U25","Kubota U35, U35-S2, U35-4, KX71-3, KX91-3, U25- has 21 teeth, 9 bolt holes, Inside Diameter: 7 3/8 Inches, Outside Diameter: 14 1/8 Inches, Width at Base of Tooth: 1 3/16 Inches",Kubota U-25�Serial Numbers: 20001 to 25293�(the newer serial numbers require part number RB511-14432),,,,Kubota RC788-14430 Drive Sprocket,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-U-35-4-Sprockets-RC788-14430-17p226.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
43,Kubota,sprocket,drive,drive_sprocket,RD809-14433,"RD809-14440, RD809-14430, EV60129",,"Kubota KX080-3, KX080-4, KX080-4S2, KX080-5","Kubota KX080-3, KX080-4, KX080-4S2, KX080-5 - has 19 theeth 12 bolt holes, Inside Diameter: 10 3/8 Inches, Outside diameter 19 inches",,,,,Kubota RD809-14433 Drive Sprocket,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Kubota-KX-080-3-KX-080-4-Drive-Sprocket-174p760.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
44,Takeuchi,roller,bottom,bottom_roller,03313-06100,,,"Takeuchi TB014, TB015, TB016","Takeuchi TB014, TB015, TB016",,,,,Takeuchi 03313-06100 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB015-TB016-Bottom-Roller-406p3047.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
45,Takeuchi,roller,bottom,bottom_roller,03913-02100,,,"Takeuchi TB145, TB250, TB53, TB53FR, TB153FR, TB045","Takeuchi TB145, TB250, TB53, TB53FR, TB153FR, TB045",Takeuchi TB 53FR�Serials 15810005-15811324,,,,Takeuchi 03913-02100 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB145-TB250-Bottom-Roller-405p395.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
46,Takeuchi,roller,bottom,bottom_roller,04313-00500,,04313-11100,"Takeuchi TB025,TB035","Takeuchi TB025,TB035",,,,,Takeuchi 04313-00500 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB025-TB035-Outside-Guide-Bottom-Roller-302p673.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
47,Takeuchi,roller,bottom,bottom_roller,04313-11000,,06813-00038,"Takeuchi TB125,TB235","Takeuchi TB025,TB035",,,,,Takeuchi 04313-11000 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB025-TB035-Outside-Guide-Bottom-Roller-302p673.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
48,Takeuchi,roller,bottom,bottom_roller,05613-07100,,"05613-04100, 05613-01100","Takeuchi TB068FR, TB070, TB75FR, TB80FR, TB175,TB180, TB180FR","Takeuchi TB068FR, TB070, TB75FR, TB80FR, TB175,TB180, TB180FR",,,,,Takeuchi 05613-07100 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB175-TB180-Bottom-Rollers-207p326.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
49,Takeuchi,roller,bottom,bottom_roller,05613-11100,,,"Takeuchi TB280FR, TB285, TB290","Takeuchi TB280FR, TB285, TB290",,,,,Takeuchi 05613-11100 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB290-Bottom-Rollers-477p4762.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
50,Takeuchi,roller,bottom,bottom_roller,06813-00038,,,"Takeuchi TL10V2, TL6, TL8R2","Takeuchi TL10V2, TL6, TL8R2 Triple flange rollers",,,,,Takeuchi 06813-00038 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TL10V2-TL6-TL8R2-Bottom-Roller-478p3059.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
51,Takeuchi,roller,bottom,bottom_roller,8801-30000,,,"Takeuchi TL130, TL230, TL8, TL126, TL26-2","Takeuchi TL130, TL230, TL8, TL126, TL26-2",,,,,Takeuchi 880130000 Bottom Roller,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TL130-TL230-TL8-Bottom-Roller-08801-30000-252p267.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
52,Takeuchi,roller,bottom,bottom_roller,881130500,,881130500,Takeuchi TL10 / TL12 / TL240 / TL250 Bottom Roller 881130500,"Takeuchi TL140, TL150, TL10, TL12, TL240, TL250",No specific serial break extracted; verify by model and serial before ordering.,Bottom track roller down the center of Takeuchi TL undercarriage; front roller and idler are separate parts.,"RubberTrax machine-family pages reference related drive sprockets 881160110 / 08821-60010, idler 08811-40300, front roller 08811-31300.",Takeuchi 881130500 Bottom Roller | Rubber Track Wholesale,Takeuchi TL10 / TL12 Bottom Roller 881130500,"Replacement bottom roller 881130500 for Takeuchi TL10, TL12, TL140, TL150, TL240 and TL250 track loaders. Verify fitment before ordering.",High,EXTRACTED - RubberTrax search/page text reviewed,YES,READY FOR OWNER APPROVAL - RubberTrax verified,NO - staged until owner changes publish flag to YES,https://store.rubbertrax.com/Takeuchi-TL10-TL12-TL240-TL250-Bottom-Rollers-281p253.htm,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.
53,Takeuchi,sprocket,drive,drive_sprocket,03516-08210,,,"Takeuchi TB228, TB240","Takeuchi TB228, TB240- has 9 bolts, 23 teeth, Inside Diameter: 7 3/8 Inches, Outside Diameter: 15 1/8 Inches",,,,,Takeuchi 03516-08210 Drive Sprocket,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB228-TB240-Sprocket-298p755.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
54,Takeuchi,sprocket,drive,drive_sprocket,05516-00120,,,"Takeuchi TB250-2, TB257FR, TB260, TB370�","Takeuchi TB250-2, TB257FR, TB260, TB370�",,,,,Takeuchi 05516-00120 Drive Sprocket,,High,URL provided; extraction not completed in this first pass,PENDING,DO NOT PUBLISH - needs RubberTrax verification,NO,https://store.rubbertrax.com/Takeuchi-TB250-2-TB260-Sprocket-05516-00120-884p4746.htm,RubberTrax URL present but extraction not completed/verified; do not publish part page.
