record_id,import_batch,launch_priority,brand,part_category,part_subtype,primary_part_number,alt_part_numbers,superseded_part_numbers,oem_equivalent,product_name,compatible_models_text,compatible_models,equipment_type,track_sizes,serial_ranges,chassis_mount_notes,serial_notes,position_notes,installation_notes,wear_indicators,fitment_notes,confidence,imported_by_rtw,sold_by_rtw,owner_approved,verification_notes,source_urls,last_verified,publish_status,index_status,sitemap_include,date_added,date_modified,slug,seo_title,seo_h1,seo_h2,meta_description,canonical_type,breadcrumb_label,page_intro,custom_fitment_notes,wear_patterns,replacement_symptoms,operating_environments,installation_guidance,maintenance_notes,oem_references,terrain_applications,expert_tips,related_sprockets,related_rollers,related_idlers,related_carrier_rollers,related_track_sizes,price_tier,has_quantity_pricing,supplier_sku,supplier_name,lead_time_days,stock_status,seo_title_override,meta_description_override,verification_source
staged-029,rubbertrax-research-55,staged,John Deere,roller,bottom,9237937,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere 9237937 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-030,rubbertrax-research-55,staged,John Deere,roller,bottom,9239528,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere 9239528 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-031,rubbertrax-research-55,staged,John Deere,roller,bottom,AT336091,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,John Deere AT336091 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-032,rubbertrax-research-55,staged,Kubota,roller,bottom,RB511-21702,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RB511-21702 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-033,rubbertrax-research-55,staged,Kubota,roller,bottom,RC101-21803,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RC101-21803 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-034,rubbertrax-research-55,staged,Kubota,roller,bottom,RD101-99900,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RD101-99900 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-035,rubbertrax-research-55,staged,Kubota,roller,bottom,RD118-21700,RD118-21700,RubberTrax lists Kubota dealer part number RD118-21700.,,Kubota KX121-3 / KX040-4 Bottom Roller RD118-21700,"Kubota KX121-3, KX121-3SS, KX121-3ST, KX040-4",,compact-track-loader,,,Mini excavator bottom center roller; RubberTrax notes steel-track version is stocked separately/needs selection.,No serial break extracted from RubberTrax snippet; verify if steel-track version is required.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota KX121-3 / KX040-4 Bottom Roller RD118-21700,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Kubota RD118-21700 Bottom Roller | Rubber Track Wholesale,Replacement bottom roller RD118-21700 for Kubota KX121-3 and KX040-4 mini excavators. Verify fitment before ordering.,RubberTrax research
staged-036,rubbertrax-research-55,staged,Kubota,roller,bottom,RD201-21700,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RD201-21700 Bottom Roller,,,,,,Non-RubberTrax source; do not publish unless owner manually approves.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-037,rubbertrax-research-55,staged,Kubota,roller,bottom,RD411-21700,RD411-21702; RD411-21703; RD441-21702; RD579-21700; RD461-21900,"RubberTrax lists RD411-21702, RD411-21703, RD441-21702, RD579-21700, RD461-21900.",,Kubota KX161-3 / U45-3 Bottom Roller RD411-21700,"Kubota KX161-3, U45-3, U40-3, KX057-4, U55-4",,compact-track-loader,,,Mini excavator bottom roller with sealed ball-bearing design and stainless steel shaft noted by RubberTrax.,No specific serial break extracted; verify model/configuration before ordering.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota KX161-3 / U45-3 Bottom Roller RD411-21700,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Kubota RD411-21700 Bottom Roller | Rubber Track Wholesale,"Replacement bottom roller RD411-21700 for Kubota KX161-3, U45-3, KX057-4 and related mini excavators. Verify fitment before ordering.",RubberTrax research
staged-038,rubbertrax-research-55,staged,Kubota,roller,bottom,RD411-21703,RD411-21702; RD411-21703; RD441-21702; RD579-21700; RD461-21900,Cross-reference family includes RD411-21700/RD411-21702/RD411-21703 and related alternates.,,Kubota KX161-3 / U45-3 Bottom Roller RD411-21703,"Kubota KX161-3, U45-3, U40-3, KX057-4, U55-4",,compact-track-loader,,,Same RubberTrax page/family as RD411-21700; mini excavator bottom roller.,No specific serial break extracted; verify model/configuration before ordering.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota KX161-3 / U45-3 Bottom Roller RD411-21703,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Kubota RD411-21703 Bottom Roller | Rubber Track Wholesale,"Replacement bottom roller RD411-21703 for Kubota KX161-3, U45-3, KX057-4 and related mini excavators. Verify fitment before ordering.",RubberTrax research
staged-039,rubbertrax-research-55,staged,Kubota,roller,bottom,RD809-21703,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RD809-21703 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-040,rubbertrax-research-55,staged,Kubota,roller,bottom,RG158-21700,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RG158-21700 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-041,rubbertrax-research-55,staged,Kubota,sprocket,drive,68621-14430,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota 68621-14430 Drive Sprocket,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-042,rubbertrax-research-55,staged,Kubota,sprocket,drive,RC788-14430,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RC788-14430 Drive Sprocket,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-043,rubbertrax-research-55,staged,Kubota,sprocket,drive,RD809-14433,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Kubota RD809-14433 Drive Sprocket,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-044,rubbertrax-research-55,staged,Takeuchi,roller,bottom,03313-06100,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 03313-06100 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-045,rubbertrax-research-55,staged,Takeuchi,roller,bottom,03913-02100,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 03913-02100 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-046,rubbertrax-research-55,staged,Takeuchi,roller,bottom,04313-00500,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 04313-00500 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-047,rubbertrax-research-55,staged,Takeuchi,roller,bottom,04313-11000,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 04313-11000 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-048,rubbertrax-research-55,staged,Takeuchi,roller,bottom,05613-07100,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 05613-07100 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-049,rubbertrax-research-55,staged,Takeuchi,roller,bottom,05613-11100,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 05613-11100 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-050,rubbertrax-research-55,staged,Takeuchi,roller,bottom,06813-00038,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 06813-00038 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-051,rubbertrax-research-55,staged,Takeuchi,roller,bottom,880130000,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 880130000 Bottom Roller,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-052,rubbertrax-research-55,staged,Takeuchi,roller,bottom,881130500,881130500,"RubberTrax machine-family pages reference related drive sprockets 881160110 / 08821-60010, idler 08811-40300, front roller 08811-31300.",,Takeuchi TL10 / TL12 / TL240 / TL250 Bottom Roller 881130500,"Takeuchi TL140, TL150, TL10, TL12, TL240, TL250",,compact-track-loader,,,Bottom track roller down the center of Takeuchi TL undercarriage; front roller and idler are separate parts.,No specific serial break extracted; verify by model and serial before ordering.,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi TL10 / TL12 Bottom Roller 881130500,,,,,,Use as staged RubberTrax-verified enrichment. Create public part page only after owner sets should_publish_part_page=YES.,,,,,,,,,,,,,,,,,,,,Takeuchi 881130500 Bottom Roller | Rubber Track Wholesale,"Replacement bottom roller 881130500 for Takeuchi TL10, TL12, TL140, TL150, TL240 and TL250 track loaders. Verify fitment before ordering.",RubberTrax research
staged-053,rubbertrax-research-55,staged,Takeuchi,sprocket,drive,03516-08210,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 03516-08210 Drive Sprocket,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
staged-054,rubbertrax-research-55,staged,Takeuchi,sprocket,drive,05516-00120,,,,,,,compact-track-loader,,,,,,STAGED research row - verify before publishing,,,verified-researched,,,NO,,,,staged,NO,NO,,,,,Takeuchi 05516-00120 Drive Sprocket,,,,,,RubberTrax URL present but extraction not completed/verified; do not publish part page.,,,,,,,,,,,,,,,,,,,,,,RubberTrax research
